Classifier Name,Dataset,Balance,Num Training Samples,Num Non-Healthy Companies,TP,TN,FP,FN,F1 Score,AUC ROC
k-Nearest Neighbors_n_neighbors_5,Test,Unbalanced,2679,62,2,2614,3,60,0.0821917808219178,0.5155558568663947
k-Nearest Neighbors_n_neighbors_5,Train,Unbalanced,8037,186,18,7846,5,168,0.16504854368932037,0.5480686660010436
k-Nearest Neighbors_n_neighbors_5,Test,Unbalanced,2679,62,5,2615,2,57,0.08695652173913042,0.5399404637173815
k-Nearest Neighbors_n_neighbors_5,Train,Unbalanced,8037,186,13,7845,6,173,0.15533980582524273,0.53456411963136
k-Nearest Neighbors_n_neighbors_5,Test,Unbalanced,2679,62,10,2616,1,52,0.0588235294117647,0.5804541028264327
k-Nearest Neighbors_n_neighbors_5,Train,Unbalanced,8037,186,17,7845,6,169,0.18957345971563982,0.545316807803403
k-Nearest Neighbors_n_neighbors_5,Test,Unbalanced,2679,62,6,2616,1,56,0.08955223880597016,0.5481960383103036
k-Nearest Neighbors_n_neighbors_10,Train,Unbalanced,8037,186,0,7851,0,186,0.021276595744680854,0.5
k-Nearest Neighbors_n_neighbors_10,Test,Unbalanced,2679,62,1,2617,0,61,0.031746031746031744,0.5080645161290323
k-Nearest Neighbors_n_neighbors_10,Train,Unbalanced,8037,186,1,7851,0,185,0.010695187165775402,0.5026881720430108
k-Nearest Neighbors_n_neighbors_10,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
k-Nearest Neighbors_n_neighbors_10,Train,Unbalanced,8037,186,1,7851,0,185,0.04166666666666667,0.5026881720430108
k-Nearest Neighbors_n_neighbors_10,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
k-Nearest Neighbors_n_neighbors_10,Train,Unbalanced,8037,186,1,7851,0,185,0.010695187165775402,0.5026881720430108
k-Nearest Neighbors_n_neighbors_10,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
k-Nearest Neighbors_n_neighbors_15,Train,Unbalanced,8037,186,2,7851,0,184,0.0,0.5053763440860215
k-Nearest Neighbors_n_neighbors_15,Test,Unbalanced,2679,62,0,2617,0,62,0.031746031746031744,0.5
k-Nearest Neighbors_n_neighbors_15,Train,Unbalanced,8037,186,0,7851,0,186,0.021276595744680854,0.5
k-Nearest Neighbors_n_neighbors_15,Test,Unbalanced,2679,62,2,2617,0,60,0.0,0.5161290322580645
k-Nearest Neighbors_n_neighbors_15,Train,Unbalanced,8037,186,2,7851,0,184,0.021276595744680854,0.5053763440860215
k-Nearest Neighbors_n_neighbors_15,Test,Unbalanced,2679,62,0,2617,0,62,0.031746031746031744,0.5
k-Nearest Neighbors_n_neighbors_15,Train,Unbalanced,8037,186,2,7851,0,184,0.021276595744680854,0.5053763440860215
k-Nearest Neighbors_n_neighbors_15,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Naïve Bayes,Train,Unbalanced,8037,186,41,7424,427,145,0.1373134328358209,0.583021065736438
Naïve Bayes,Test,Unbalanced,2679,62,18,2469,148,44,0.1322314049586777,0.616884637666868
Naïve Bayes,Train,Unbalanced,8037,186,47,7419,432,139,0.1341107871720117,0.5988316672213525
Naïve Bayes,Test,Unbalanced,2679,62,12,2474,143,50,0.11267605633802816,0.5694528332121244
Naïve Bayes,Train,Unbalanced,8037,186,44,7427,424,142,0.13913043478260867,0.5912766403293601
Naïve Bayes,Test,Unbalanced,2679,62,15,2466,151,47,0.13888888888888892,0.5921179138881014
Naïve Bayes,Train,Unbalanced,8037,186,45,7409,442,141,0.13273001508295626,0.5928184615890312
Naïve Bayes,Test,Unbalanced,2679,62,14,2484,133,48,0.13698630136986303,0.5874924501090882
